Facility ID,Measure Name,Score,Compared to National
000001,Death rate for pneumonia patients,15.87,No Different
000001,Death rate for COPD patients,16.13,No Different
000001,Death rate for coronary artery bypass graft (CABG) patients,14.39,No Different
000001,Death rate for stroke patients,19.2,No Different
000001,Death rate for heart attack patients,12.99,Worse
000002,Death rate for pneumonia patients,10.1,No Different
000002,Death rate for COPD patients,13.49,Worse
000002,Death rate for stroke patients,12.99,No Different
000002,Death rate for heart attack patients,14.59,Better
000003,Death rate for heart failure patients,8.73,No Different
000003,Death rate for pneumonia patients,3,Worse
000003,Death rate for coronary artery bypass graft (CABG) patients,10.03,No Different
000003,Death rate for heart attack patients,12.13,No Different
000003,Death rate for stroke patients,8.92,Worse
000003,Death rate for COPD patients,7.79,No Different
000004,Death rate for stroke patients,14.83,No Different
000004,Death rate for heart failure patients,21.23,Better
000004,Death rate for COPD patients,18.56,Better
000004,Death rate for pneumonia patients,15.25,Better
000005,Death rate for heart failure patients,19.87,Worse
000005,Death rate for pneumonia patients,21.84,Better
000005,Death rate for heart attack patients,22.99,No Different
000006,Death rate for heart failure patients,11.66,No Different
000006,Death rate for pneumonia patients,8.92,No Different
000006,Death rate for stroke patients,10.79,No Different
000006,Death rate for coronary artery bypass graft (CABG) patients,10.82,No Different
000007,Death rate for coronary artery bypass graft (CABG) patients,21.91,Better
000007,Death rate for COPD patients,22.35,No Different
000007,Death rate for stroke patients,19.09,No Different
000007,Death rate for pneumonia patients,23.69,No Different
000008,Death rate for COPD patients,16.29,No Different
000008,Death rate for stroke patients,18.14,No Different
000008,Death rate for heart failure patients,13.26,No Different
000008,Death rate for heart attack patients,18.57,Better
000009,Death rate for COPD patients,12.64,No Different
000009,Death rate for heart attack patients,12.25,Better
000009,Death rate for stroke patients,10.79,No Different
000009,Death rate for heart failure patients,13.1,No Different
000010,Death rate for coronary artery bypass graft (CABG) patients,21.85,Better
000010,Death rate for heart attack patients,17.76,No Different
000010,Death rate for pneumonia patients,18.63,No Different
000010,Death rate for heart failure patients,16.4,Better
000010,Death rate for stroke patients,19.32,Better
000010,Death rate for COPD patients,18.73,No Different
000011,Death rate for heart failure patients,15.73,Better
000011,Death rate for coronary artery bypass graft (CABG) patients,13.64,No Different
000011,Death rate for COPD patients,14.48,No Different
000011,Death rate for heart attack patients,15.85,No Different
000012,Death rate for coronary artery bypass graft (CABG) patients,18.61,No Different
000012,Death rate for heart attack patients,15.85,Better
000012,Death rate for heart failure patients,19.68,Better
000013,Death rate for stroke patients,13.59,No Different
000013,Death rate for COPD patients,16.69,No Different
000013,Death rate for pneumonia patients,17.72,No Different
000013,Death rate for heart attack patients,11.71,Better
000013,Death rate for coronary artery bypass graft (CABG) patients,17.58,No Different
000013,Death rate for heart failure patients,16.29,No Different
000014,Death rate for pneumonia patients,12.87,Better
000014,Death rate for heart attack patients,13.89,Better
000014,Death rate for coronary artery bypass graft (CABG) patients,10.16,No Different
000014,Death rate for stroke patients,10.85,Worse
000014,Death rate for heart failure patients,8.6,No Different
000015,Death rate for heart failure patients,13.26,No Different
000015,Death rate for COPD patients,12.03,Better
000015,Death rate for coronary artery bypass graft (CABG) patients,12.78,No Different
000015,Death rate for pneumonia patients,9.71,No Different
000015,Death rate for heart attack patients,8.48,No Different
000015,Death rate for stroke patients,12.35,Worse
000016,Death rate for stroke patients,14.59,No Different
000016,Death rate for COPD patients,13.64,No Different
000016,Death rate for coronary artery bypass graft (CABG) patients,15.93,Worse
000016,Death rate for heart attack patients,16.6,Better
000016,Death rate for heart failure patients,16.8,No Different
000017,Death rate for coronary artery bypass graft (CABG) patients,8.95,Better
000017,Death rate for stroke patients,13.77,No Different
000017,Death rate for heart failure patients,10.88,Worse
000018,Death rate for stroke patients,10.87,No Different
000018,Death rate for heart failure patients,12.63,Better
000018,Death rate for pneumonia patients,12.5,Better
000018,Death rate for heart attack patients,13.46,No Different
000018,Death rate for COPD patients,11.11,No Different
000018,Death rate for coronary artery bypass graft (CABG) patients,7.35,Better
000019,Death rate for heart attack patients,11.81,No Different
000019,Death rate for heart failure patients,8.13,No Different
000019,Death rate for pneumonia patients,8.32,Better
000020,Death rate for stroke patients,18.23,No Different
000020,Death rate for coronary artery bypass graft (CABG) patients,17.28,No Different
000020,Death rate for pneumonia patients,15.13,No Different
000020,Death rate for COPD patients,16.81,No Different
000020,Death rate for heart failure patients,17.29,No Different
000020,Death rate for heart attack patients,17.65,Better
000021,Death rate for COPD patients,12.65,No Different
000021,Death rate for heart attack patients,11.85,No Different
000021,Death rate for pneumonia patients,13.61,No Different
000021,Death rate for coronary artery bypass graft (CABG) patients,13.27,No Different
000022,Death rate for heart failure patients,20.26,Better
000022,Death rate for COPD patients,18.31,No Different
000022,Death rate for pneumonia patients,18.66,No Different
000022,Death rate for heart attack patients,18.88,Better
000022,Death rate for stroke patients,18.48,Better
000022,Death rate for coronary artery bypass graft (CABG) patients,18.13,No Different
000023,Death rate for pneumonia patients,11.17,Better
