Facility ID,Measure Name,Score,Compared to National
000001,Surgical site infections (SSI) - Colon surgery,0.715,No Different
000001,Clostridium difficile (C.diff) infections,0.601,Better
000001,Surgical site infections (SSI) - Abdominal hysterectomy,0.878,No Different
000001,Catheter-associated urinary tract infections (CAUTI),0.514,No Different
000001,Methicillin-resistant Staphylococcus aureus (MRSA),0.1,No Different
000001,Central line-associated bloodstream infections (CLABSI),0.293,No Different
000002,Surgical site infections (SSI) - Colon surgery,0.846,Worse
000002,Catheter-associated urinary tract infections (CAUTI),0.667,No Different
000002,Central line-associated bloodstream infections (CLABSI),0.944,No Different
000002,Clostridium difficile (C.diff) infections,0.713,Better
000002,Surgical site infections (SSI) - Abdominal hysterectomy,0.769,Worse
000002,Methicillin-resistant Staphylococcus aureus (MRSA),1.59,No Different
000003,Central line-associated bloodstream infections (CLABSI),1.056,No Different
000003,Surgical site infections (SSI) - Abdominal hysterectomy,1.344,Better
000003,Catheter-associated urinary tract infections (CAUTI),1.008,No Different
000004,Surgical site infections (SSI) - Abdominal hysterectomy,1.32,No Different
000004,Central line-associated bloodstream infections (CLABSI),1.253,No Different
000004,Clostridium difficile (C.diff) infections,1.135,Better
000004,Catheter-associated urinary tract infections (CAUTI),1.037,No Different
000004,Surgical site infections (SSI) - Colon surgery,1.117,Better
000005,Clostridium difficile (C.diff) infections,0.707,No Different
000005,Methicillin-resistant Staphylococcus aureus (MRSA),0.826,No Different
000005,Surgical site infections (SSI) - Colon surgery,0.536,Better
000005,Catheter-associated urinary tract infections (CAUTI),0.35,No Different
000005,Surgical site infections (SSI) - Abdominal hysterectomy,0.373,No Different
000006,Surgical site infections (SSI) - Abdominal hysterectomy,1.097,No Different
000006,Clostridium difficile (C.diff) infections,0.869,No Different
000006,Surgical site infections (SSI) - Colon surgery,1.004,No Different
000006,Catheter-associated urinary tract infections (CAUTI),0.916,No Different
000007,Surgical site infections (SSI) - Colon surgery,0.856,Worse
000007,Clostridium difficile (C.diff) infections,0.869,No Different
000007,Methicillin-resistant Staphylococcus aureus (MRSA),0.296,No Different
000008,Clostridium difficile (C.diff) infections,1.484,Worse
000008,Surgical site infections (SSI) - Abdominal hysterectomy,1.203,No Different
000008,Surgical site infections (SSI) - Colon surgery,1.042,No Different
000008,Methicillin-resistant Staphylococcus aureus (MRSA),1.356,Worse
000008,Catheter-associated urinary tract infections (CAUTI),0.938,No Different
000009,Clostridium difficile (C.diff) infections,0.379,Better
000009,Surgical site infections (SSI) - Abdominal hysterectomy,0.405,No Different
000009,Surgical site infections (SSI) - Colon surgery,0.58,No Different
000009,Methicillin-resistant Staphylococcus aureus (MRSA),0.453,No Different
000009,Catheter-associated urinary tract infections (CAUTI),0.695,No Different
000009,Central line-associated bloodstream infections (CLABSI),0.575,Better
000010,Surgical site infections (SSI) - Abdominal hysterectomy,0.943,No Different
000010,Central line-associated bloodstream infections (CLABSI),1.209,No Different
000010,Methicillin-resistant Staphylococcus aureus (MRSA),0.904,No Different
000010,Clostridium difficile (C.diff) infections,0.889,Worse
000011,Clostridium difficile (C.diff) infections,0.729,Better
000011,Methicillin-resistant Staphylococcus aureus (MRSA),1.1,No Different
000011,Catheter-associated urinary tract infections (CAUTI),1.108,No Different
000011,Surgical site infections (SSI) - Colon surgery,0.523,Better
000011,Surgical site infections (SSI) - Abdominal hysterectomy,0.512,No Different
000012,Catheter-associated urinary tract infections (CAUTI),1.357,No Different
000012,Methicillin-resistant Staphylococcus aureus (MRSA),1.173,Better
000012,Central line-associated bloodstream infections (CLABSI),0.985,Better
000013,Clostridium difficile (C.diff) infections,0.907,Worse
000013,Surgical site infections (SSI) - Abdominal hysterectomy,0.881,No Different
000013,Methicillin-resistant Staphylococcus aureus (MRSA),0.774,Better
000013,Catheter-associated urinary tract infections (CAUTI),0.838,No Different
000014,Central line-associated bloodstream infections (CLABSI),0.434,No Different
000014,Catheter-associated urinary tract infections (CAUTI),1.009,No Different
000014,Methicillin-resistant Staphylococcus aureus (MRSA),1.18,Better
000014,Clostridium difficile (C.diff) infections,0.937,No Different
000015,Catheter-associated urinary tract infections (CAUTI),1.301,Better
000015,Clostridium difficile (C.diff) infections,1.697,Better
000015,Methicillin-resistant Staphylococcus aureus (MRSA),1.469,No Different
000015,Surgical site infections (SSI) - Abdominal hysterectomy,1.354,No Different
000015,Central line-associated bloodstream infections (CLABSI),1.151,No Different
000016,Clostridium difficile (C.diff) infections,0.761,No Different
000016,Catheter-associated urinary tract infections (CAUTI),0.877,No Different
000016,Central line-associated bloodstream infections (CLABSI),1.041,No Different
000017,Surgical site infections (SSI) - Abdominal hysterectomy,0.918,No Different
000017,Clostridium difficile (C.diff) infections,0.843,Worse
000017,Central line-associated bloodstream infections (CLABSI),0.752,No Different
000017,Catheter-associated urinary tract infections (CAUTI),0.513,Better
000017,Methicillin-resistant Staphylococcus aureus (MRSA),0.789,Worse
000018,Surgical site infections (SSI) - Colon surgery,1.102,Better
000018,Clostridium difficile (C.diff) infections,0.729,No Different
000018,Methicillin-resistant Staphylococcus aureus (MRSA),1.118,Worse
000018,Catheter-associated urinary tract infections (CAUTI),0.649,Better
000018,Surgical site infections (SSI) - Abdominal hysterectomy,0.929,Better
000018,Central line-associated bloodstream infections (CLABSI),1.027,Better
000019,Catheter-associated urinary tract infections (CAUTI),1.119,No Different
000019,Clostridium difficile (C.diff) infections,1.003,No Different
000019,Methicillin-resistant Staphylococcus aureus (MRSA),0.716,No Different
000019,Surgical site infections (SSI) - Colon surgery,0.65,Worse
000020,Surgical site infections (SSI) - Colon surgery,1.243,Better
000020,Catheter-associated urinary tract infections (CAUTI),1.383,No Different
000020,Clostridium difficile (C.diff) infections,0.993,No Different
000020,Methicillin-resistant Staphylococcus aureus (MRSA),1.04,No Different
000020,Surgical site infections (SSI) - Abdominal hysterectomy,1.383,No Different
000020,Central line-associated bloodstream infections (CLABSI),1.461,No Different
000021,Catheter-associated urinary tract infections (CAUTI),1.541,Better
000021,Methicillin-resistant Staphylococcus aureus (MRSA),1.131,No Different
000021,Central line-associated bloodstream infections (CLABSI),1.127,No Different
000021,Surgical site infections (SSI) - Colon surgery,1.145,No Different
000022,Clostridium difficile (C.diff) infections,0.493,No Different
000022,Surgical site infections (SSI) - Abdominal hysterectomy,0.666,No Different
000022,Catheter-associated urinary tract infections (CAUTI),1.022,No Different
000023,Clostridium difficile (C.diff) infections,1.035,No Different
000023,Central line-associated bloodstream infections (CLABSI),1.179,No Different
000023,Catheter-associated urinary tract infections (CAUTI),1.211,No Different
000024,Central line-associated bloodstream infections (CLABSI),0.971,No Different
000024,Catheter-associated urinary tract infections (CAUTI),0.707,No Different
000024,Surgical site infections (SSI) - Colon surgery,1.18,No Different
000024,Methicillin-resistant Staphylococcus aureus (MRSA),0.951,No Different
000024,Surgical site infections (SSI) - Abdominal hysterectomy,1.068,No Different
000024,Clostridium difficile (C.diff) infections,1.137,No Different
000025,Surgical site infections (SSI) - Abdominal hysterectomy,1.348,No Different
000025,Methicillin-resistant Staphylococcus aureus (MRSA),0.996,Better
000025,Clostridium difficile (C.diff) infections,0.952,No Different
000025,Central line-associated bloodstream infections (CLABSI),0.863,No Different
000025,Catheter-associated urinary tract infections (CAUTI),0.929,Worse
000026,Surgical site infections (SSI) - Abdominal hysterectomy,0.549,No Different
000026,Clostridium difficile (C.diff) infections,0.575,No Different
000026,Central line-associated bloodstream infections (CLABSI),0.738,No Different
000026,Catheter-associated urinary tract infections (CAUTI),0.832,Better
000027,Surgical site infections (SSI) - Abdominal hysterectomy,0.659,No Different
000027,Surgical site infections (SSI) - Colon surgery,0.567,No Different
000027,Clostridium difficile (C.diff) infections,0.783,No Different
000027,Methicillin-resistant Staphylococcus aureus (MRSA),0.824,No Different
000027,Catheter-associated urinary tract infections (CAUTI),0.463,No Different
000028,Surgical site infections (SSI) - Colon surgery,0.633,Better
000028,Central line-associated bloodstream infections (CLABSI),0.836,Better
000028,Clostridium difficile (C.diff) infections,0.319,No Different
000028,Surgical site infections (SSI) - Abdominal hysterectomy,0.563,Better
000028,Methicillin-resistant Staphylococcus aureus (MRSA),0.868,No Different
000028,Catheter-associated urinary tract infections (CAUTI),0.598,No Different
000029,Methicillin-resistant Staphylococcus aureus (MRSA),0.848,Better
000029,Clostridium difficile (C.diff) infections,0.883,No Different
000029,Central line-associated bloodstream infections (CLABSI),0.743,No Different
000029,Surgical site infections (SSI) - Abdominal hysterectomy,0.808,No Different
000029,Surgical site infections (SSI) - Colon surgery,0.803,No Different
000029,Catheter-associated urinary tract infections (CAUTI),0.894,No Different
000030,Central line-associated bloodstream infections (CLABSI),1.819,No Different
000030,Catheter-associated urinary tract infections (CAUTI),1.667,No Different
000030,Surgical site infections (SSI) - Colon surgery,1.442,No Different
000031,Surgical site infections (SSI) - Abdominal hysterectomy,1.289,Worse
000031,Central line-associated bloodstream infections (CLABSI),1.571,No Different
000031,Catheter-associated urinary tract infections (CAUTI),1.286,No Different
000032,Methicillin-resistant Staphylococcus aureus (MRSA),1.296,No Different
000032,Clostridium difficile (C.diff) infections,1.524,Better
000032,Surgical site infections (SSI) - Abdominal hysterectomy,1.636,Worse
000032,Surgical site infections (SSI) - Colon surgery,1.28,Better
000032,Central line-associated bloodstream infections (CLABSI),1.375,Worse
000033,Catheter-associated urinary tract infections (CAUTI),0.958,No Different
000033,Surgical site infections (SSI) - Abdominal hysterectomy,0.674,No Different
000033,Clostridium difficile (C.diff) infections,1.249,No Different
000033,Methicillin-resistant Staphylococcus aureus (MRSA),1.135,No Different
000034,Central line-associated bloodstream infections (CLABSI),0.691,Worse
000034,Methicillin-resistant Staphylococcus aureus (MRSA),0.636,No Different
000034,Clostridium difficile (C.diff) infections,0.757,No Different
000034,Catheter-associated urinary tract infections (CAUTI),0.983,Better
000035,Catheter-associated urinary tract infections (CAUTI),1.214,Better
000035,Clostridium difficile (C.diff) infections,1.364,No Different
000035,Methicillin-resistant Staphylococcus aureus (MRSA),1.385,No Different
000035,Surgical site infections (SSI) - Abdominal hysterectomy,1.216,No Different
000035,Central line-associated bloodstream infections (CLABSI),0.956,No Different
000035,Surgical site infections (SSI) - Colon surgery,0.974,No Different
000036,Methicillin-resistant Staphylococcus aureus (MRSA),1.372,Worse
000036,Central line-associated bloodstream infections (CLABSI),1.421,No Different
000036,Clostridium difficile (C.diff) infections,1.736,Worse
000037,Surgical site infections (SSI) - Abdominal hysterectomy,0.481,No Different
000037,Surgical site infections (SSI) - Colon surgery,0.264,No Different
000037,Central line-associated bloodstream infections (CLABSI),0.1,Better
000037,Clostridium difficile (C.diff) infections,0.402,No Different
000037,Methicillin-resistant Staphylococcus aureus (MRSA),0.214,No Different
000038,Surgical site infections (SSI) - Colon surgery,0.683,No Different
000038,Methicillin-resistant Staphylococcus aureus (MRSA),0.689,No Different
000038,Clostridium difficile (C.diff) infections,0.724,Worse
000038,Catheter-associated urinary tract infections (CAUTI),0.599,No Different
000038,Central line-associated bloodstream infections (CLABSI),0.96,Worse
000038,Surgical site infections (SSI) - Abdominal hysterectomy,0.84,No Different
000039,Surgical site infections (SSI) - Abdominal hysterectomy,1.141,No Different
000039,Central line-associated bloodstream infections (CLABSI),0.734,No Different
000039,Surgical site infections (SSI) - Colon surgery,1.058,No Different
000039,Catheter-associated urinary tract infections (CAUTI),1.299,No Different
000040,Catheter-associated urinary tract infections (CAUTI),0.533,No Different
000040,Central line-associated bloodstream infections (CLABSI),0.549,No Different
000040,Methicillin-resistant Staphylococcus aureus (MRSA),0.994,No Different
000041,Surgical site infections (SSI) - Abdominal hysterectomy,0.662,No Different
000041,Methicillin-resistant Staphylococcus aureus (MRSA),0.725,No Different
000041,Central line-associated bloodstream infections (CLABSI),0.635,No Different
000041,Surgical site infections (SSI) - Colon surgery,1.091,No Different
000042,Clostridium difficile (C.diff) infections,1.2,No Different
000042,Central line-associated bloodstream infections (CLABSI),0.855,No Different
000042,Methicillin-resistant Staphylococcus aureus (MRSA),1.107,Better
000043,Central line-associated bloodstream infections (CLABSI),1.204,No Different
000043,Surgical site infections (SSI) - Abdominal hysterectomy,1.164,Better
000043,Methicillin-resistant Staphylococcus aureus (MRSA),1.224,No Different
000043,Catheter-associated urinary tract infections (CAUTI),0.966,No Different
000043,Surgical site infections (SSI) - Colon surgery,0.968,No Different
000044,Surgical site infections (SSI) - Abdominal hysterectomy,0.976,No Different
000044,Methicillin-resistant Staphylococcus aureus (MRSA),1.04,Better
000044,Catheter-associated urinary tract infections (CAUTI),1.188,No Different
000044,Clostridium difficile (C.diff) infections,0.953,No Different
000044,Surgical site infections (SSI) - Colon surgery,1.174,No Different
000045,Central line-associated bloodstream infections (CLABSI),1.657,No Different
000045,Clostridium difficile (C.diff) infections,1.512,No Different
000045,Methicillin-resistant Staphylococcus aureus (MRSA),1.25,No Different
