Facility ID,Measure Name,Score,Compared to National
000001,Readmission rate for heart failure patients,19.11,Better
000001,Readmission rate for COPD patients,20.64,Worse
000001,Readmission rate for hip/knee replacement patients,19.96,No Different
000001,Readmission rate for stroke patients,21.2,No Different
000001,Readmission rate for heart attack patients,22.26,Better
000002,Readmission rate for hip/knee replacement patients,17.01,Better
000002,Readmission rate for heart attack patients,15.08,No Different
000002,Readmission rate for heart failure patients,16.92,No Different
000002,Readmission rate for COPD patients,11.42,No Different
000002,Readmission rate for pneumonia patients,15.95,Better
000003,Readmission rate for stroke patients,18.53,No Different
000003,Readmission rate for pneumonia patients,16.63,Better
000003,Readmission rate for COPD patients,19.71,No Different
000003,Readmission rate for heart failure patients,21.55,No Different
000003,Readmission rate for hip/knee replacement patients,18.66,No Different
000003,Readmission rate for heart attack patients,15.29,No Different
000004,Readmission rate for stroke patients,14.49,No Different
000004,Readmission rate for hip/knee replacement patients,16.54,Better
000004,Readmission rate for pneumonia patients,12.83,No Different
000004,Readmission rate for heart attack patients,16.16,Better
000004,Readmission rate for COPD patients,17.05,Better
000004,Readmission rate for heart failure patients,16.24,Worse
000005,Readmission rate for heart failure patients,11.89,No Different
000005,Readmission rate for heart attack patients,11.47,No Different
000005,Readmission rate for pneumonia patients,10.84,Better
000006,Readmission rate for pneumonia patients,14.51,No Different
000006,Readmission rate for stroke patients,14.53,Better
000006,Readmission rate for COPD patients,15.09,No Different
000006,Readmission rate for heart failure patients,15.2,No Different
000006,Readmission rate for hip/knee replacement patients,14,No Different
000007,Readmission rate for COPD patients,26.44,No Different
000007,Readmission rate for pneumonia patients,23.25,No Different
000007,Readmission rate for hip/knee replacement patients,19.01,No Different
000007,Readmission rate for heart failure patients,19.05,Better
000007,Readmission rate for heart attack patients,21.57,Worse
000008,Readmission rate for heart attack patients,8.35,No Different
000008,Readmission rate for heart failure patients,10.15,No Different
000008,Readmission rate for COPD patients,12.93,No Different
000009,Readmission rate for stroke patients,14.98,No Different
000009,Readmission rate for heart attack patients,15.27,No Different
000009,Readmission rate for hip/knee replacement patients,12.27,No Different
000009,Readmission rate for pneumonia patients,11.38,No Different
000009,Readmission rate for heart failure patients,15.07,No Different
000009,Readmission rate for COPD patients,15.35,No Different
000010,Readmission rate for hip/knee replacement patients,17.86,Better
000010,Readmission rate for pneumonia patients,19.08,No Different
000010,Readmission rate for heart attack patients,24.43,No Different
000010,Readmission rate for stroke patients,19.66,Worse
000010,Readmission rate for COPD patients,20.36,No Different
000011,Readmission rate for stroke patients,19.08,No Different
000011,Readmission rate for heart failure patients,22.75,No Different
000011,Readmission rate for heart attack patients,17.82,No Different
000011,Readmission rate for COPD patients,17.81,Worse
000012,Readmission rate for COPD patients,18.82,No Different
000012,Readmission rate for stroke patients,17.9,No Different
000012,Readmission rate for pneumonia patients,16.29,No Different
000012,Readmission rate for hip/knee replacement patients,13.55,No Different
000012,Readmission rate for heart failure patients,21.48,No Different
000013,Readmission rate for COPD patients,22.02,Worse
000013,Readmission rate for heart attack patients,22.51,No Different
000013,Readmission rate for heart failure patients,20.03,No Different
000014,Readmission rate for heart attack patients,21.54,No Different
000014,Readmission rate for hip/knee replacement patients,21.88,Worse
000014,Readmission rate for COPD patients,21.02,No Different
000014,Readmission rate for heart failure patients,24.92,No Different
000014,Readmission rate for stroke patients,20.07,No Different
000014,Readmission rate for pneumonia patients,18.67,Better
000015,Readmission rate for COPD patients,13.18,No Different
000015,Readmission rate for heart attack patients,19.81,Better
000015,Readmission rate for heart failure patients,21.23,No Different
000015,Readmission rate for pneumonia patients,16.24,No Different
000016,Readmission rate for hip/knee replacement patients,18.32,No Different
000016,Readmission rate for COPD patients,16.95,No Different
000016,Readmission rate for stroke patients,16.89,No Different
000016,Readmission rate for heart failure patients,16.67,Better
000016,Readmission rate for heart attack patients,17.6,No Different
000016,Readmission rate for pneumonia patients,16.66,No Different
000017,Readmission rate for heart attack patients,17.46,No Different
000017,Readmission rate for heart failure patients,15.78,Better
000017,Readmission rate for stroke patients,14.74,No Different
000018,Readmission rate for hip/knee replacement patients,16.96,Worse
000018,Readmission rate for heart failure patients,14.58,Better
000018,Readmission rate for stroke patients,22.34,No Different
000018,Readmission rate for COPD patients,16.78,No Different
000018,Readmission rate for heart attack patients,19.13,Better
000019,Readmission rate for stroke patients,15.55,Better
000019,Readmission rate for heart attack patients,13.38,No Different
000019,Readmission rate for heart failure patients,12.59,No Different
000019,Readmission rate for pneumonia patients,13.43,Better
000020,Readmission rate for stroke patients,19.65,No Different
000020,Readmission rate for COPD patients,17.91,Better
000020,Readmission rate for heart attack patients,17.93,No Different
000020,Readmission rate for heart failure patients,15.78,No Different
000020,Readmission rate for pneumonia patients,19.24,No Different
000021,Readmission rate for COPD patients,13.81,No Different
000021,Readmission rate for heart failure patients,14.78,No Different
000021,Readmission rate for stroke patients,10.81,No Different
000021,Readmission rate for hip/knee replacement patients,17.68,Worse
000022,Readmission rate for hip/knee replacement patients,21.48,No Different
000022,Readmission rate for pneumonia patients,20.63,Better
000022,Readmission rate for stroke patients,17.98,Worse
000022,Readmission rate for heart attack patients,16.88,No Different
000022,Readmission rate for COPD patients,19.1,No Different
000022,Readmission rate for heart failure patients,15.1,Worse
000023,Readmission rate for hip/knee replacement patients,15.69,Better
000023,Readmission rate for heart attack patients,12.26,No Different
000023,Readmission rate for COPD patients,14.18,No Different
000023,Readmission rate for pneumonia patients,16.02,No Different
000024,Readmission rate for pneumonia patients,13.44,Better
000024,Readmission rate for heart attack patients,15.1,No Different
000024,Readmission rate for stroke patients,10.81,No Different
000024,Readmission rate for COPD patients,14.52,No Different
000025,Readmission rate for heart failure patients,17.19,Better
000025,Readmission rate for hip/knee replacement patients,16.05,No Different
000025,Readmission rate for pneumonia patients,18.81,No Different
000025,Readmission rate for COPD patients,8.92,No Different
000025,Readmission rate for heart attack patients,12.34,No Different
000025,Readmission rate for stroke patients,9.91,No Different
000026,Readmission rate for COPD patients,16.4,No Different
000026,Readmission rate for hip/knee replacement patients,13.51,No Different
000026,Readmission rate for heart attack patients,12.87,No Different
000026,Readmission rate for stroke patients,11.46,No Different
000027,Readmission rate for hip/knee replacement patients,11.31,No Different
000027,Readmission rate for pneumonia patients,12.86,Better
000027,Readmission rate for stroke patients,9.65,No Different
000027,Readmission rate for COPD patients,11.25,No Different
000027,Readmission rate for heart failure patients,11.55,Worse
000028,Readmission rate for pneumonia patients,18.03,Better
000028,Readmission rate for stroke patients,19.36,No Different
000028,Readmission rate for heart failure patients,17.29,Better
000029,Readmission rate for heart attack patients,17.58,No Different
000029,Readmission rate for heart failure patients,15.76,No Different
000029,Readmission rate for hip/knee replacement patients,15.85,No Different
000029,Readmission rate for stroke patients,15.3,Worse
000029,Readmission rate for COPD patients,15.02,No Different
000029,Readmission rate for pneumonia patients,18.2,Better
000030,Readmission rate for heart attack patients,14.98,No Different
000030,Readmission rate for hip/knee replacement patients,16.19,No Different
