hospital_id,hospital_name,address,city,state,zip_code,hospital_type,hospital_ownership,mortality_rate,mortality_measures,readmission_rate,readmission_measures,infection_rate,infection_measures,patient_experience_score,experience_measures,mortality_score,readmission_score,infection_score,patient_exp_score,quality_score,star_rating,performance_category,state_rank,state_percentile,national_rank,national_percentile
000001,St. Hospital,1426 Main St,City 5,NY,55628,Children's Hospitals,Government - Local,15.716,5,20.634,5,0.5168333333333334,6,1,1,41.9626040671489,27.257024412713037,74.3986078411301,0,38.00268928360545,2,Below Average,18,0,442,11.623246492985972
000002,General Medical Hospital,5508 Washington Ave,City 53,MD,59029,Acute Care Hospitals,Voluntary non-profit - Private,12.7925,4,15.276,5,0.9215,6,4,1,57.92275146717619,58.10686319668356,49.54447742860067,75,59.289660596473915,3,Average,4,76.92307692307693,76,84.96993987975952
000003,St. Healthcare System,5627 Oak Ave,City 183,WI,28873,Critical Access Hospitals,Voluntary non-profit - Church,8.433333333333334,6,18.395,6,1.1360000000000001,3,2,1,81.72057686183521,40.1485490557347,36.37015047599549,25,48.64584794148311,2,Below Average,14,35,260,48.09619238476954
000004,Sacred Heart Medical Hospital,3755 Park Blvd,City 50,IN,23466,Acute Care Hospitals,Proprietary,17.4675,4,15.551666666666666,6,1.1723999999999999,5,5,1,32.40070970383513,56.519653001688944,34.13450711434129,100,52.3837529401581,3,Average,6,70.58823529411765,188,62.525050100200396
000005,Good Samaritan Medical Center,9321 Washington Ave,City 52,OH,92926,Acute Care Hospitals,Voluntary non-profit - Church,21.566666666666666,3,11.4,3,0.5584,5,3,1,10.022291979436787,80.42376784891755,71.84563414883816,50,51.07403809326996,3,Average,8,56.25,218,56.51302605210421
000006,Memorial Medical Hospital,1477 Washington Ave,City 114,CT,86307,Critical Access Hospitals,Proprietary,10.5475,4,14.666,5,0.9715,4,3,1,70.17879077385015,61.61906955320129,46.47353874500971,50,58.076789306707795,3,Average,2,95.45454545454545,91,81.96392785571143
000007,Mount Healthcare System,1028 Main St,City 193,MA,43539,Acute Care Hospitals,Government - Local,21.76,4,21.864,5,0.6736666666666666,3,5,1,8.966834993858313,20.17503454629204,64.76609683693314,100,43.925333343963786,2,Below Average,9,38.46153846153847,353,29.458917835671343
000008,Good Samaritan Healthcare System,1857 Maple Dr,City 67,VA,96304,Acute Care - Department of Defense,Voluntary non-profit - Private,16.565,4,10.476666666666667,3,1.2046000000000001,5,3,1,37.32769209772076,85.74005834484876,32.156822602108704,50,50.67252786605559,3,Average,5,60,228,54.50901803607214
000009,St. Regional Hospital,8983 Washington Ave,City 200,PA,53330,Acute Care Hospitals,Voluntary non-profit - Church,12.195,4,14.053333333333333,6,0.5145,6,5,1,61.18465947864064,65.1466298172885,74.54191831303102,100,73.27753487617207,4,Above Average,1,100,6,98.99799599198397
000010,Community Healthcare System,200 Maple Dr,City 172,FL,32811,Acute Care Hospitals,Proprietary,18.781666666666666,6,20.278,5,0.9862500000000001,4,3,1,25.226331832036763,29.306771073238153,45.567611833350384,50,36.286495276258165,2,Below Average,19,10,457,8.617234468937877
