hospital_id,hospital_name,address,city,state,zip_code,hospital_type,hospital_ownership,mortality_rate,mortality_measures,readmission_rate,readmission_measures,infection_rate,infection_measures,patient_experience_score,experience_measures,mortality_score,readmission_score,infection_score,patient_exp_score,quality_score,star_rating,performance_category,state_rank,state_percentile,national_rank,national_percentile,category
000215,St. Medical Center,3872 Main St,City 158,AL,76463,Acute Care Hospitals,Voluntary non-profit - Church,14.363333333333333,3,16.248,5,0.5474,5,4,1,49.347163459351265,52.510363887609394,72.52124065922817,75,61.062050174514766,3,Average,1,100,57,88.77755511022045,Top in State
000037,Good Samaritan Medical Hospital,7369 Park Blvd,City 5,AZ,74366,Acute Care Hospitals,Voluntary non-profit - Church,15.633333333333333,3,9.04,3,0.2922,5,3,1,42.41390291615487,94.0119760479042,88.19531170027638,50,68.2759928118916,4,Above Average,1,100,18,96.59318637274549,Top in State
000351,Presbyterian Healthcare System,221 Oak Ave,City 182,CA,94679,Acute Care Hospitals,Voluntary non-profit - Other,9.405,4,8,3,1.4468333333333334,6,4,1,76.41599563259179,100,17.279148326338415,75,67.24458577136214,4,Above Average,1,100,24,95.39078156312625,Top in State
000444,Good Samaritan Medical Center,4630 Maple Dr,City 103,CO,10750,Acute Care Hospitals,Voluntary non-profit - Private,11.618,5,17.45,4,0.899,3,4,1,64.3346526545653,45.58959005066791,50.926399836216596,75,58.42939326809071,3,Average,1,100,87,82.76553106212425,Top in State
000348,Methodist Medical Center,5702 Washington Ave,City 27,CT,49165,Acute Care Hospitals,Government - Local,12.03,5,15.7,6,0.37275,4,4,1,62.08543742322916,55.66559189313681,83.24802948101136,75,68.35403657050578,4,Above Average,1,100,17,96.79358717434869,Top in State
000372,County Hospital,4400 Park Blvd,City 160,FL,70082,Acute Care Hospitals,Proprietary,11.1725,4,16.695999999999998,5,0.7091999999999999,5,4,1,66.76675310495428,49.93090741593738,62.58368307912786,75,63.15867355525259,3,Average,1,100,44,91.38276553106212,Top in State
000383,Methodist Healthcare System,5176 Main St,City 29,GA,38025,Acute Care Hospitals,Voluntary non-profit - Church,11.876666666666667,3,10.7,5,0.87,3,5,1,62.92252399799827,84.45416858590512,52.70754427269935,100,73.1671854140506,4,Above Average,1,100,7,98.79759519038076,Top in State
000052,University Regional Hospital,6871 Oak Ave,City 179,IL,79340,Acute Care Hospitals,Proprietary,11.878,5,11.506,5,1.2753333333333332,3,4,1,62.91524498430462,79.81345002303087,27.812468011055387,75,60.78105300381295,3,Average,1,100,59,88.37675350701403,Top in State
000135,Good Samaritan Healthcare System,9125 Main St,City 122,IN,64897,Children's Hospitals,Voluntary non-profit - Church,6.281666666666666,6,12.67,3,0.8468333333333333,6,3,1,93.46708520995405,73.1114693689544,54.13041252942982,50,69.85059603758226,4,Above Average,1,100,12,97.79559118236473,Top in State
000182,Regional Medical Hospital,7069 Elm St,City 2,KY,60299,Acute Care Hospitals,Proprietary,6.1739999999999995,5,14.525,4,1.0054,5,5,1,94.05486556571584,62.43090741593736,44.391442317535045,100,74.92204710308286,4,Above Average,1,100,5,99.19839679358718,Top in State
000161,University Hospital,3672 Park Blvd,City 192,LA,54128,Acute Care Hospitals,Voluntary non-profit - Private,13.045,6,10.31,6,0.7766,5,3,1,56.544288248942266,86.69967756794104,58.44405773364725,50,63.24922030007975,3,Average,1,100,42,91.78356713426854,Top in State
000478,Mount Hospital,7977 Main St,City 67,MA,51668,Acute Care Hospitals,Voluntary non-profit - Private,11.485,4,11.123333333333333,3,0.9495,4,3,1,65.06073427050634,82.01673575925074,47.82475176578974,50,61.97859216241203,3,Average,1,100,48,90.5811623246493,Top in State
000140,Methodist Medical Hospital,6249 Oak Ave,City 77,MD,19700,Acute Care Hospitals,Government - Local,9.73,5,8.69,4,0.7046666666666667,3,3,1,74.64173604476593,96.02717641639798,62.86211485310676,50,72.11484363080596,4,Above Average,1,100,9,98.39679358717434,Top in State
