hospital_id,hospital_name,address,city,state,zip_code,hospital_type,hospital_ownership,mortality_rate,mortality_measures,readmission_rate,readmission_measures,infection_rate,infection_measures,patient_experience_score,experience_measures,mortality_score,readmission_score,infection_score,patient_exp_score,quality_score,star_rating,performance_category,state_rank,state_percentile,national_rank,national_percentile,category
000234,Sacred Heart Medical Center,5149 Main St,City 75,AL,40879,Acute Care Hospitals,Voluntary non-profit - Private,13.806666666666667,6,21.058,5,1.3596,5,1,1,52.38615167644783,24.815753109166295,22.63691268297677,0,27.579011950970113,1,Poor,17,0,494,1.2024048096192386,Worst in State
000159,Mount Medical Hospital,2547 Elm St,City 163,AZ,94219,Acute Care Hospitals,Government - Local,17.4775,4,24.386666666666667,3,1.2229999999999999,3,2,1,32.346117101132805,5.650237985567344,31.026717166547243,25,23.87307391836849,1,Poor,22,0,498,0.4008016032064128,Worst in State
000487,Methodist Regional Hospital,3997 Main St,City 73,CA,34368,Critical Access Hospitals,Proprietary,17.792,5,15.016666666666666,6,1.6232,5,3,1,30.629179746144388,59.60003070781515,6.446923943085267,50,35.70049258656842,2,Below Average,11,0,463,7.414829659318638,Worst in State
000212,St. Medical Center,1474 Oak Ave,City 109,CO,37639,Acute Care - Department of Defense,Voluntary non-profit - Other,19.9825,4,22.54,6,1.6315,4,5,1,18.670670124198168,16.28281897742977,5.9371481216091695,100,31.156192812019185,1,Poor,16,0,488,2.404809619238477,Worst in State
000297,Sacred Heart Medical Hospital,3733 Elm St,City 130,CT,33121,Acute Care Hospitals,Proprietary,16.3475,4,19.990000000000002,4,1.4,4,3,1,38.51508120649652,30.964993090741586,20.155594226635273,50,34.33467119129317,1,Poor,23,0,471,5.811623246492986,Worst in State
000263,Mercy Medical Hospital,5694 Elm St,City 39,FL,48033,Critical Access Hospitals,Voluntary non-profit - Private,18.53,6,19.666,5,1.5948333333333333,6,4,1,26.600245666712155,32.830492860433,8.189169822909207,75,33.2349893708492,1,Poor,21,0,481,3.807615230460922,Worst in State
000461,General Healthcare System,2007 Park Blvd,City 40,GA,45556,Acute Care Hospitals,Government - Local,18.264,5,14.7575,4,0.9436,5,2,1,28.05240889859425,61.09223859972363,48.18712253045347,25,40.73556295212255,2,Below Average,14,0,406,18.837675350701403,Worst in State
000491,Methodist Healthcare System,5671 Park Blvd,City 34,IL,26265,Acute Care Hospitals,Proprietary,14.7025,4,20.4975,4,1.299,5,3,1,47.49556435103044,28.042952556425632,26.358890367488996,50,37.84913003628779,2,Below Average,8,0,444,11.22244488977956,Worst in State
000446,Mount Medical Hospital,1476 Elm St,City 185,IN,73252,Acute Care Hospitals,Proprietary,13.347999999999999,5,19.803333333333335,3,1.5030000000000001,5,3,1,54.89013238706156,32.03976662060495,13.829460538437914,50,37.934346505879184,2,Below Average,18,0,443,11.422845691382765,Worst in State
000407,Memorial Medical Hospital,4889 Maple Dr,City 82,KY,51342,Acute Care - Department of Defense,Government - Local,14.93,5,19.026666666666667,6,1.521,6,3,1,46.25358263955235,36.51159220021496,12.723922612345177,50,36.18495349500574,2,Below Average,22,0,458,8.41683366733467,Worst in State
000309,Mercy Healthcare System,7775 Elm St,City 126,LA,24395,Acute Care Hospitals,Government - Local,16.46,3,20.516666666666666,3,1.2836666666666667,3,1,1,37.900914426095255,27.93259634577001,27.300644897123547,0,25.178584638551964,1,Poor,20,0,497,0.6012024048096193,Worst in State
